# M.A.C.E. Audit Report
# Hostname: macbook-air-6.local
#
# Summary
# Pass Rate: 25.0%
# Total: 113
# Passed: 28
# Failed: 84
# Manual Review: 1
# Errors: 0
# Generated: 2025-12-14T03:20:43Z
#
# Section Summary
# iCloud: 0/1 passed (0%)
# Password Policy: 1/8 passed (12%)
# System Settings: 9/43 passed (21%)
# Operating System: 11/40 passed (28%)
# Audit: 7/21 passed (33%)
#
Rule ID,CIS ID,Title,Section,Status,Expected Output,Actual Output,Discussion,Comment,Error Message,Check Script,Fix Script,Modified,Execution Time (s),Timestamp
system_settings_remote_management_disable,2.3.3.5 (level 1),Disable Remote Management,system_settings,Fail,1,0,,,"Expected: 1, Got: 0","/usr/libexec/mdmclient QuerySecurityInfo 2>/dev/null | /usr/bin/grep -c ""RemoteDesktopEnabled = 0""",/System/Library/CoreServices/RemoteManagement/ARDAgent.app/Contents/Resources/kickstart -deactivate -stop,No,0.029,2025-12-14T03:19:27Z
system_settings_time_machine_auto_backup_enable,2.3.4.1 (level 2),Configure Time Machine for Automatic Backups,system_settings,Fail,true,,,,"Expected: true, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.TimeMachine')\
.objectForKey('AutoBackup').js
EOS","[Mobileconfig] - PayloadContent:
  - AutoBackup: true
  PayloadType: com.apple.TimeMachine
",No,0.039,2025-12-14T03:19:27Z
system_settings_loginwindow_prompt_username_password_enforce,2.11.4 (level 1),Configure Login Window to Prompt for Username and Password,system_settings,Fail,true,,,,"Expected: true, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.loginwindow')\
.objectForKey('SHOWFULLNAME').js
EOS","[Mobileconfig] - PayloadContent:
  - SHOWFULLNAME: true
  PayloadType: com.apple.loginwindow
",No,0.039,2025-12-14T03:19:27Z
system_settings_hot_corners_secure,2.7.1 (level 2),Secure Hot Corners,system_settings,Pass,0,0,,,,"bl_corner=""$(/usr/bin/defaults read /Users/""$CURRENT_USER""/Library/Preferences/com.apple.dock wvous-bl-corner 2>/dev/null)""
tl_corner=""$(/usr/bin/defaults read /Users/""$CURRENT_USER""/Library/Preferences/com.apple.dock wvous-tl-corner 2>/dev/null)""
tr_corner=""$(/usr/bin/defaults read /Users/""$CURRENT_USER""/Library/Preferences/com.apple.dock wvous-tr-corner 2>/dev/null)""
br_corner=""$(/usr/bin/defaults read /Users/""$CURRENT_USER""/Library/Preferences/com.apple.dock wvous-br-corner 2>/dev/null)""

if [[ ""$bl_corner"" != ""6"" ]] && [[ ""$tl_corner"" != ""6"" ]] && [[ ""$tr_corner"" != ""6"" ]] && [[ ""$br_corner"" != ""6"" ]]; then
  echo ""0""
fi","/usr/bin/sudo -u ""$CURRENT_USER"" /usr/bin/defaults delete /Users/""$CURRENT_USER""/Library/Preferences/com.apple.dock wvous-bl-corner 2>/dev/null
/usr/bin/sudo -u ""$CURRENT_USER"" /usr/bin/defaults delete /Users/""$CURRENT_USER""/Library/Preferences/com.apple.dock wvous-tl-corner 2>/dev/null
/usr/bin/sudo -u ""$CURRENT_USER"" /usr/bin/defaults delete /Users/""$CURRENT_USER""/Library/Preferences/com.apple.dock wvous-tr-corner 2>/dev/null
/usr/bin/sudo -u ""$CURRENT_USER"" /usr/bin/defaults delete /Users/""$CURRENT_USER""/Library/Preferences/com.apple.dock wvous-br-corner 2>/dev/null",No,0.036,2025-12-14T03:19:27Z
system_settings_personalized_advertising_disable,2.6.4 (level 1),Disable Personalized Advertising,system_settings,Fail,false,,,,"Expected: false, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowApplePersonalizedAdvertising').js
EOS","[Mobileconfig] - PayloadContent:
  - allowApplePersonalizedAdvertising: false
  PayloadType: com.apple.applicationaccess
",No,0.039,2025-12-14T03:19:27Z
system_settings_smbd_disable,2.3.3.2 (level 1),Disable Server Message Block Sharing,system_settings,Fail,1,0,,,"Expected: 1, Got: 0","/bin/launchctl print-disabled system | /usr/bin/grep -c '""com.apple.smbd"" => disabled'",/bin/launchctl disable system/com.apple.smbd,No,0.014,2025-12-14T03:19:27Z
system_settings_password_hints_disable,2.11.5 (level 1),Disable Password Hints,system_settings,Fail,0,,,,"Expected: 0, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.loginwindow')\
.objectForKey('RetriesUntilHint').js
EOS","[Mobileconfig] - PayloadContent:
  - RetriesUntilHint: 0
  PayloadType: com.apple.loginwindow
",No,0.039,2025-12-14T03:19:27Z
system_settings_system_wide_preferences_configure,2.6.8 (level 1),Require Administrator Password to Modify System-Wide Preferences,system_settings,Fail,1,0,,,"Expected: 1, Got: 0","authDBs=(""system.preferences"" ""system.preferences.energysaver"" ""system.preferences.network"" ""system.preferences.printing"" ""system.preferences.sharing"" ""system.preferences.softwareupdate"" ""system.preferences.startupdisk"" ""system.preferences.timemachine"")
result=""1""
for section in ${authDBs[@]}; do
  if [[ $(/usr/bin/security -q authorizationdb read ""$section"" | /usr/bin/xmllint -xpath 'name(//*[contains(text(), ""shared"")]/following-sibling::*[1])' -) != ""false"" ]]; then
    result=""0""
  fi
  if [[ $(/usr/bin/security -q authorizationdb read ""$section"" | /usr/bin/xmllint -xpath '//*[contains(text(), ""group"")]/following-sibling::*[1]/text()' - ) != ""admin"" ]]; then
    result=""0""
  fi
  if [[ $(/usr/bin/security -q authorizationdb read ""$section"" | /usr/bin/xmllint -xpath 'name(//*[contains(text(), ""authenticate-user"")]/following-sibling::*[1])' -) != ""true"" ]]; then
    result=""0""
  fi
  if [[ $(/usr/bin/security -q authorizationdb read ""$section"" | /usr/bin/xmllint -xpath 'name(//*[contains(text(), ""session-owner"")]/following-sibling::*[1])' -) != ""false"" ]]; then
    result=""0""
  fi
done
echo $result","authDBs=(""system.preferences"" ""system.preferences.energysaver"" ""system.preferences.network"" ""system.preferences.printing"" ""system.preferences.sharing"" ""system.preferences.softwareupdate"" ""system.preferences.startupdisk"" ""system.preferences.timemachine"")

for section in ${authDBs[@]}; do
  /usr/bin/security -q authorizationdb read ""$section"" > ""/tmp/$section.plist""

  class_key_value=$(/usr/libexec/PlistBuddy -c ""Print :class"" ""/tmp/$section.plist"" 2>&1)
  if [[ ""$class_key_value"" == *""Does Not Exist""* ]]; then
    /usr/libexec/PlistBuddy -c ""Add :class string user"" ""/tmp/$section.plist""
  else
    /usr/libexec/PlistBuddy -c ""Set :class user"" ""/tmp/$section.plist""
  fi

  key_value=$(/usr/libexec/PlistBuddy -c ""Print :shared"" ""/tmp/$section.plist"" 2>&1)  	
  if [[ ""$key_value"" == *""Does Not Exist""* ]]; then
    /usr/libexec/PlistBuddy -c ""Add :shared bool false"" ""/tmp/$section.plist""
  else
    /usr/libexec/PlistBuddy -c ""Set :shared false"" ""/tmp/$section.plist""
  fi

  auth_user_key=$(/usr/libexec/PlistBuddy -c ""Print :authenticate-user"" ""/tmp/$section.plist"" 2>&1)  	
  if [[ ""$auth_user_key"" == *""Does Not Exist""* ]]; then
    /usr/libexec/PlistBuddy -c ""Add :authenticate-user bool true"" ""/tmp/$section.plist""
  else
    /usr/libexec/PlistBuddy -c ""Set :authenticate-user true"" ""/tmp/$section.plist""
  fi

  session_owner_key=$(/usr/libexec/PlistBuddy -c ""Print :session-owner"" ""/tmp/$section.plist"" 2>&1)  	
  if [[ ""$session_owner_key"" == *""Does Not Exist""* ]]; then
    /usr/libexec/PlistBuddy -c ""Add :session-owner bool false"" ""/tmp/$section.plist""
  else
    /usr/libexec/PlistBuddy -c ""Set :session-owner false"" ""/tmp/$section.plist""
  fi

  group_key=$(/usr/libexec/PlistBuddy -c ""Print :group"" ""/tmp/$section.plist"" 2>&1)
  if [[ ""$group_key"" == *""Does Not Exist""* ]]; then
    /usr/libexec/PlistBuddy -c ""Add :group string admin"" ""/tmp/$section.plist""
  else
    /usr/libexec/PlistBuddy -c ""Set :group admin"" ""/tmp/$section.plist""
  fi

  /usr/bin/security -q authorizationdb write ""$section"" < ""/tmp/$section.plist""
done",No,0.496,2025-12-14T03:19:28Z
system_settings_screensaver_timeout_enforce,2.11.1 (level 1),Enforce Screen Saver Timeout,system_settings,Fail,true,,,,"Expected: true, Got: ","/usr/bin/osascript -l JavaScript << EOS
function run() {
  let timeout = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.screensaver')\
.objectForKey('idleTime'))
  if ( timeout <= $ODV ) {
    return(""true"")
  } else {
    return(""false"")
  }
}
EOS","[Mobileconfig] - PayloadContent:
  - idleTime: $ODV
  PayloadType: com.apple.screensaver
",No,0.030,2025-12-14T03:19:28Z
system_settings_softwareupdate_current,1.1 (level 1),Ensure Software Update is Updated and Current,system_settings,Pass,1,1,,,,"softwareupdate_date_epoch=$(/bin/date -j -f ""%Y-%m-%d"" ""$(/usr/bin/defaults read /Library/Preferences/com.apple.SoftwareUpdate.plist LastFullSuccessfulDate | /usr/bin/awk '{print $1}')"" ""+%s"")
thirty_days_epoch=$(/bin/date -v -30d ""+%s"")
if [[ $softwareupdate_date_epoch -lt $thirty_days_epoch ]]; then
  /bin/echo ""0""
else
  /bin/echo ""1""
fi",/usr/sbin/softwareupdate -i -a,No,0.027,2025-12-14T03:19:28Z
system_settings_screen_sharing_disable,2.3.3.1 (level 1),Disable Screen Sharing and Apple Remote Desktop,system_settings,Pass,PASS,PASS,,,,"result=""FAIL""
enabled=$(/bin/launchctl print-disabled system | /usr/bin/grep '""com.apple.screensharing"" => enabled')
running=$(/bin/launchctl print system/com.apple.screensharing 2>/dev/null)

if [[ -z ""$running"" ]] && [[ -z ""$enabled"" ]]; then
  result=""PASS""
elif [[ -n ""$running"" ]]; then
  result=result+"" RUNNING""
elif [[ -n ""$enabled"" ]]; then
  result=result+"" ENABLED""
fi
echo $result",/bin/launchctl disable system/com.apple.screensharing,No,0.015,2025-12-14T03:19:28Z
system_settings_siri_disable,2.5.2.1 (level 1),Disable Siri,system_settings,Fail,false,,,,"Expected: false, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowAssistant').js
EOS","[Mobileconfig] - PayloadContent:
  - allowAssistant: false
  PayloadType: com.apple.applicationaccess
",No,0.039,2025-12-14T03:19:28Z
system_settings_external_intelligence_disable,2.5.1.1 (level 1),Disable External Intelligence Integrations,system_settings,Fail,false,,,,"Expected: false, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowExternalIntelligenceIntegrations').js
EOS","[Mobileconfig] - PayloadContent:
  - allowExternalIntelligenceIntegrations: false
  PayloadType: com.apple.applicationaccess
",No,0.039,2025-12-14T03:19:28Z
system_settings_content_caching_disable,2.3.3.8 (level 2),Disable Content Caching Service,system_settings,Fail,false,,,,"Expected: false, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowContentCaching').js
EOS","[Mobileconfig] - PayloadContent:
  - allowContentCaching: false
  PayloadType: com.apple.applicationaccess
",No,0.040,2025-12-14T03:19:28Z
system_settings_filevault_enforce,2.6.6 (level 1),Enforce FileVault,system_settings,Fail,1,0,,,"Expected: 1, Got: 0","dontAllowDisable=$(/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.MCX')\
.objectForKey('dontAllowFDEDisable').js
EOS
)
fileVault=$(/usr/bin/fdesetup status | /usr/bin/grep -c ""FileVault is On."")
if [[ ""$dontAllowDisable"" == ""true"" ]] && [[ ""$fileVault"" == 1 ]]; then
  echo ""1""
else
  echo ""0""
fi","[Mobileconfig] - PayloadContent:
  - dontAllowFDEDisable: true
  PayloadType: com.apple.MCX
",No,0.094,2025-12-14T03:19:28Z
system_settings_internet_sharing_disable,2.3.3.7 (level 1),Disable Internet Sharing,system_settings,Fail,true,,,,"Expected: true, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.MCX')\
.objectForKey('forceInternetSharingOff').js
EOS","[Mobileconfig] - PayloadContent:
  - forceInternetSharingOff: true
  PayloadType: com.apple.MCX
",No,0.040,2025-12-14T03:19:28Z
system_settings_ssh_disable,2.3.3.4 (level 1),Disable SSH Server for Remote Access Sessions,system_settings,Pass,PASS,PASS,,,,"result=""FAIL""
enabled=$(/bin/launchctl print-disabled system | /usr/bin/grep '""com.openssh.sshd"" => enabled')
running=$(/bin/launchctl print system/com.openssh.sshd 2>/dev/null)

if [[ -z ""$running"" ]] && [[ -z ""$enabled"" ]]; then
  result=""PASS""
elif [[ -n ""$running"" ]]; then
  result=result+"" RUNNING""
elif [[ -n ""$enabled"" ]]; then
  result=result+"" ENABLED""
fi
echo $result","/usr/sbin/systemsetup -f -setremotelogin off >/dev/null
/bin/launchctl disable system/com.openssh.sshd",No,0.017,2025-12-14T03:19:28Z
system_settings_firewall_enable,2.2.1 (level 1),Enable macOS Application Firewall,system_settings,Fail,true,,,,"Expected: true, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.firewall')\
.objectForKey('EnableFirewall').js
EOS",/usr/bin/defaults write /Library/Preferences/com.apple.alf globalstate -int 1,No,0.039,2025-12-14T03:19:29Z
system_settings_critical_update_install_enforce,1.5 (level 1),Enforce Critical Security Updates to be Installed,system_settings,Pass,true,true,,,,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.SoftwareUpdate')\
.objectForKey('CriticalUpdateInstall').js
EOS","[Mobileconfig] - PayloadContent:
  - CriticalUpdateInstall: true
  PayloadType: com.apple.SoftwareUpdate
",No,0.040,2025-12-14T03:19:29Z
system_settings_wake_network_access_disable,2.10.3 (level 1),Ensure Wake for Network Access Is Disabled,system_settings,Fail,0,1,,,"Expected: 0, Got: 1",/usr/bin/pmset -g custom | /usr/bin/awk '/womp/ { sum+=$2 } END {print sum}',/usr/bin/pmset -a womp 0,No,0.019,2025-12-14T03:19:29Z
system_settings_diagnostics_reports_disable,2.6.3.1 (level 1),Disable Sending Diagnostic and Usage Data to Apple,system_settings,Fail,true,false,,,"Expected: true, Got: false","/usr/bin/osascript -l JavaScript << EOS
function run() {
let pref1 = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.SubmitDiagInfo')\
.objectForKey('AutoSubmit').js
let pref2 = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowDiagnosticSubmission').js
if ( pref1 == false && pref2 == false ){
    return(""true"")
} else {
    return(""false"")
}
}
EOS","[Mobileconfig] - PayloadContent:
  - AutoSubmit: false
  PayloadType: com.apple.SubmitDiagInfo
- PayloadContent:
  - allowDiagnosticSubmission: false
  PayloadType: com.apple.applicationaccess
",No,0.040,2025-12-14T03:19:29Z
system_settings_bluetooth_sharing_disable,2.3.3.10 (level 1),Disable Bluetooth Sharing,system_settings,Fail,0,,,,"Expected: 0, Got: ","/usr/bin/sudo -u ""$CURRENT_USER"" /usr/bin/defaults -currentHost read com.apple.Bluetooth PrefKeyServicesEnabled","/usr/bin/sudo -u ""$CURRENT_USER"" /usr/bin/defaults -currentHost write com.apple.Bluetooth PrefKeyServicesEnabled -bool false",No,0.012,2025-12-14T03:19:29Z
system_settings_external_intelligence_sign_in_disable,2.5.1.1 (level 1),Disable External Intelligence Integration Sign In,system_settings,Fail,false,,,,"Expected: false, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowExternalIntelligenceIntegrationsSignIn').js
EOS","[Mobileconfig] - PayloadContent:
  - allowExternalIntelligenceIntegrationsSignIn: false
  PayloadType: com.apple.applicationaccess
",No,0.040,2025-12-14T03:19:29Z
system_settings_loginwindow_loginwindowtext_enable,2.11.3 (level 1),Configure Login Window to Show A Custom Message,system_settings,Manual Review,,,"The login window _MUST_ be configured to show a custom access warning message.
",,Check exists but no expected result defined,,,No,N/A,2025-12-14T03:19:29Z
system_settings_improve_siri_dictation_disable,2.6.3.2 (level 1),Disable Improve Siri and Dictation Information to Apple,system_settings,Pass,2,2,,,,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.assistant.support')\
.objectForKey('Siri Data Sharing Opt-In Status').js
EOS","[Mobileconfig] - PayloadContent:
  - Siri Data Sharing Opt-In Status: 2
  PayloadType: com.apple.assistant.support
",No,0.039,2025-12-14T03:19:29Z
system_settings_automatic_login_disable,2.13.3 (level 1),Disable Unattended or Automatic Logon to the System,system_settings,Fail,true,,,,"Expected: true, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.loginwindow')\
.objectForKey('com.apple.login.mcx.DisableAutoLoginClient').js
EOS","[Mobileconfig] - PayloadContent:
  - com.apple.login.mcx.DisableAutoLoginClient: true
  PayloadType: com.apple.loginwindow
",No,0.039,2025-12-14T03:19:29Z
system_settings_time_server_enforce,2.3.2.1 (level 1),Enforce macOS Time Synchronization,system_settings,Fail,true,,,,"Expected: true, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.timed')\
.objectForKey('TMAutomaticTimeOnlyEnabled').js
EOS","[Mobileconfig] - PayloadContent:
  - com.apple.timed:
      TMAutomaticTimeOnlyEnabled: true
  PayloadType: com.apple.ManagedClient.preferences
",No,0.038,2025-12-14T03:19:29Z
system_settings_airplay_receiver_disable,2.3.1.2 (level 1),Disable Airplay Receiver,system_settings,Fail,false,,,,"Expected: false, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowAirPlayIncomingRequests').js
EOS","[Mobileconfig] - PayloadContent:
  - allowAirPlayIncomingRequests: false
  PayloadType: com.apple.applicationaccess
",No,0.039,2025-12-14T03:19:29Z
system_settings_improve_assistive_voice_disable,2.6.3.3 (level 1),Disable Sending Audio Recordings and Transcripts to Apple,system_settings,Fail,false,,,,"Expected: false, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.Accessibility')\
.objectForKey('AXSAudioDonationSiriImprovementEnabled').js
EOS","[Mobileconfig] - PayloadContent:
  - AXSAudioDonationSiriImprovementEnabled: false
  PayloadType: com.apple.Accessibility
",No,0.039,2025-12-14T03:19:29Z
system_settings_time_server_configure,2.3.2.1 (level 1),Configure macOS to Use an Authorized Time Server,system_settings,Fail,$ODV,,,,"Expected: $ODV, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.MCX')\
.objectForKey('timeServer').js
EOS","[Mobileconfig] - PayloadContent:
  - timeServer: $ODV
  PayloadType: com.apple.MCX
",No,0.039,2025-12-14T03:19:29Z
system_settings_rae_disable,2.3.3.6 (level 1),Disable Remote Apple Events,system_settings,Fail,1,0,,,"Expected: 1, Got: 0","/bin/launchctl print-disabled system | /usr/bin/grep -c '""com.apple.AEServer"" => disabled'","/usr/sbin/systemsetup -setremoteappleevents off
/bin/launchctl disable system/com.apple.AEServer",No,0.011,2025-12-14T03:19:29Z
system_settings_media_sharing_disabled,2.3.3.9 (level 2),Disable Media Sharing,system_settings,Fail,true,false,,,"Expected: true, Got: false","/usr/bin/osascript -l JavaScript << EOS
function run() {
  let pref1 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowMediaSharing'))
  let pref2 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowMediaSharingModification'))
  if ( pref1 == false && pref2 == false ) {
    return(""true"")
  } else {
    return(""false"")
  }
}
EOS","[Mobileconfig] - PayloadContent:
  - allowMediaSharing: false
  - allowMediaSharingModification: false
  PayloadType: com.apple.applicationaccess
",No,0.039,2025-12-14T03:19:29Z
system_settings_firewall_stealth_mode_enable,2.2.2 (level 1),Enable Firewall Stealth Mode,system_settings,Fail,true,,,,"Expected: true, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.firewall')\
.objectForKey('EnableStealthMode').js
EOS",/usr/bin/defaults write /Library/Preferences/com.apple.alf stealthenabled -int 1,No,0.039,2025-12-14T03:19:30Z
audit_flags_fm_failed_configure,3.2 (level 2),Configure System to Audit All Failed Change of Object Attributes,audit,Fail,1,0,,,"Expected: 1, Got: 0","/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '\-fm'","/usr/bin/grep -qE ""^flags.*-fm"" /etc/security/audit_control || /usr/bin/sed -i.bak '/^flags/ s/$/,-fm/' /etc/security/audit_control;/usr/sbin/audit -s",No,0.010,2025-12-14T03:19:30Z
audit_folder_group_configure,3.5 (level 1),Configure Audit Log Folders Group to Wheel,audit,Pass,0,0,,,,/bin/ls -dn $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{print $4}',/usr/bin/chgrp wheel /var/audit,No,0.013,2025-12-14T03:19:30Z
audit_control_mode_configure,3.5 (level 1),Configure Audit_Control Owner to Mode 440 or Less Permissive,audit,Pass,0,0,,,,/bin/ls -l /etc/security/audit_control | /usr/bin/awk '!/-r--[r-]-----|current|total/{print $1}' | /usr/bin/wc -l | /usr/bin/xargs,/bin/chmod 440 /etc/security/audit_control,No,0.011,2025-12-14T03:19:30Z
audit_flags_ad_configure,3.2 (level 2),Configure System to Audit All Administrative Action Events,audit,Fail,1,0,,,"Expected: 1, Got: 0","/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec 'ad'","/usr/bin/grep -qE ""^flags.*[^-]ad"" /etc/security/audit_control || /usr/bin/sed -i.bak '/^flags/ s/$/,ad/' /etc/security/audit_control; /usr/sbin/audit -s",No,0.009,2025-12-14T03:19:30Z
